Donating Entity,2020
Aruba,
Africa Eastern and Southern,9.00829E+11
Afghanistan,19807067268
Africa Western and Central,7.86585E+11
Angola,62306913444
Albania,14799615097
Andorra,
Arab World,2.46601E+12
United Arab Emirates,
Argentina,3.83067E+11
Armenia,12645459214
American Samoa,
Antigua and Barbuda,1415059259
Australia,1.3309E+12
Austria,4.30947E+11
Azerbaijan,42607176471
Burundi,3258187233
Belgium,5.15332E+11
Benin,15651545209
Burkina Faso,17369059295
Bangladesh,3.24239E+11
Bulgaria,69105101090
Bahrain,
"Bahamas, The",11250000000
Bosnia and Herzegovina,19788422248
Belarus,60258239056
Belize,1763696119
Bermuda,
Bolivia,36688861203
Brazil,1.44473E+12
Barbados,4365500000
Brunei Darussalam,12016056665
Bhutan,2409262838
Botswana,15781732826
Central African Republic,2303078338
Canada,1.64404E+12
Central Europe and the Baltics,1.64652E+12
Switzerland,7.52248E+11
Channel Islands,
Chile,2.5294E+11
China,1.47227E+13
Cote d'Ivoire,61348579465
Cameroon,39802147568
"Congo, Dem. Rep.",49868970641
"Congo, Rep.",10884686143
Colombia,2.71347E+11
Comoros,1219690025
Cabo Verde,1703698677
Costa Rica,61520669890
Caribbean small states,68415253068
Cuba,
Curacao,
Cayman Islands,
Cyprus,23804340377
Czech Republic,2.45349E+11
Germany,3.84641E+12
Djibouti,3384404260
Dominica,469870370.4
Denmark,3.56085E+11
Dominican Republic,78844702329
Algeria,1.45164E+11
East Asia & Pacific (excluding high income),1.7443E+13
Early-demographic dividend,1.05566E+13
East Asia & Pacific,2.70376E+13
Europe & Central Asia (excluding high income),3.21768E+12
Europe & Central Asia,2.20509E+13
Ecuador,98808010000
"Egypt, Arab Rep.",3.63069E+11
Euro area,1.3011E+13
Eritrea,
Spain,1.28148E+12
Estonia,30650285472
Ethiopia,1.07645E+11
European Union,1.52765E+13
Fragile and conflict affected situations,1.49661E+12
Finland,2.69751E+11
Fiji,4376014756
France,2.63032E+12
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,15593181271
United Kingdom,2.70774E+12
Georgia,15891688903
Ghana,72354428865
Gibraltar,
Guinea,15681050917
"Gambia, The",1901930158
Guinea-Bissau,1431758243
Equatorial Guinea,10021856754
Greece,1.8941E+11
Grenada,1089203704
Greenland,
Guatemala,77604632171
Guam,
Guyana,5471256595
High income,5.33994E+13
"Hong Kong SAR, China",3.46586E+11
Honduras,23827840810
Heavily indebted poor countries (HIPC),8.0382E+11
Croatia,55966581780
Haiti,13417997065
Hungary,1.55013E+11
IBRD only,2.98069E+13
IDA & IBRD total,3.2039E+13
IDA total,2.23306E+12
IDA blend,9.5555E+11
Indonesia,1.05842E+12
IDA only,1.28167E+12
Isle of Man,
India,2.62298E+12
Not classified,
Ireland,4.25889E+11
"Iran, Islamic Rep.",1.91718E+11
Iraq,1.67224E+11
Iceland,21718075725
Israel,4.01954E+11
Italy,1.88645E+12
Jamaica,13812421803
Jordan,43697659275
Japan,4.97542E+12
Kazakhstan,1.69835E+11
Kenya,98842939649
Kyrgyz Republic,7735976613
Cambodia,25291251427
Kiribati,199573326
St. Kitts and Nevis,927451851.9
"Korea, Rep.",1.63053E+12
Kuwait,
Latin America & Caribbean (excluding high income),4.00784E+12
Lao PDR,19136194849
Lebanon,33383246858
Liberia,2950000000
Libya,25418461532
St. Lucia,1703364241
Latin America & Caribbean,4.69807E+12
Least developed countries: UN classification,1.13266E+12
Low income,4.58347E+11
Liechtenstein,
Sri Lanka,80706600229
Lower middle income,7.32877E+12
Low & middle income,3.08891E+13
Lesotho,1844510138
Late-demographic dividend,2.25132E+13
Lithuania,55887271833
Luxembourg,73263982103
Latvia,33505185229
"Macao SAR, China",
St. Martin (French part),
Morocco,1.12871E+11
Monaco,
Moldova,11914040905
Madagascar,13720634105
Maldives,4030203167
Middle East & North Africa,3.0363E+12
Mexico,1.07616E+12
Marshall Islands,
Middle income,3.04331E+13
North Macedonia,12266949805
Mali,17393761397
Malta,14647384608
Myanmar,76185586097
Middle East & North Africa (excluding high income),1.1655E+12
Montenegro,4778582336
Mongolia,13137128659
Northern Mariana Islands,
Mozambique,14021421106
Mauritania,7778525643
Mauritius,10914065306
Malawi,11961848553
Malaysia,3.36664E+11
North America,2.25879E+13
Namibia,10699926683
New Caledonia,
Niger,13678234008
Nigeria,4.32294E+11
Nicaragua,12621476264
Netherlands,9.13865E+11
Norway,3.62522E+11
Nepal,33657175561
Nauru,
New Zealand,2.10886E+11
OECD members,5.22209E+13
Oman,
Other small states,3.77229E+11
Pakistan,2.63687E+11
Panama,52938100000
Peru,2.02014E+11
Philippines,3.61489E+11
Palau,
Papua New Guinea,23591523025
Poland,5.94165E+11
Pre-demographic dividend,1.30482E+12
Puerto Rico,1.03138E+11
"Korea, Dem. People's Rep.",
Portugal,2.31227E+11
Paraguay,35304238230
West Bank and Gaza,15561300000
Pacific island small states,9170736596
Post-demographic dividend,4.94477E+13
French Polynesia,
Qatar,1.46374E+11
Romania,2.48716E+11
Russian Federation,1.4835E+12
Rwanda,10333991892
South Asia,3.35152E+12
Saudi Arabia,7.00118E+11
Sudan,26110829190
Senegal,24910904236
Singapore,3.39998E+11
Solomon Islands,1551245526
Sierra Leone,3865018883
El Salvador,24638720000
San Marino,
Somalia,4917607582
Serbia,52960134079
Sub-Saharan Africa (excluding high income),1.68648E+12
South Sudan,
Sub-Saharan Africa,1.6876E+12
Small states,4.54965E+11
Sao Tome and Principe,472914469.9
Suriname,3807922874
Slovak Republic,1.04574E+11
Slovenia,53589609581
Sweden,5.41064E+11
Eswatini,3962493093
Sint Maarten (Dutch part),
Seychelles,1124937500
Syrian Arab Republic,
Turks and Caicos Islands,924583000
Chad,10093118570
East Asia & Pacific (IDA & IBRD countries),1.74208E+13
Europe & Central Asia (IDA & IBRD countries),3.86831E+12
Togo,7574635241
Thailand,5.01795E+11
Tajikistan,8194150302
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),4.4724E+12
Timor-Leste,1821000000
Middle East & North Africa (IDA & IBRD countries),1.14992E+12
Tonga,
South Asia (IDA & IBRD),3.35152E+12
Sub-Saharan Africa (IDA & IBRD countries),1.6876E+12
Trinidad and Tobago,21529824769
Tunisia,39235672868
Turkey,7.20101E+11
Tuvalu,48855550.2
Tanzania,62409748427
Uganda,37372032558
Ukraine,1.55582E+11
Upper middle income,2.31049E+13
Uruguay,53628827440
United States,2.09366E+13
Uzbekistan,57707189945
St. Vincent and the Grenadines,809681481.5
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,2.71158E+11
Vanuatu,854793640.1
World,8.4578E+13
Samoa,807027244.4
Kosovo,7611402165
"Yemen, Rep.",
South Africa,3.01924E+11
Zambia,19320053859
Zimbabwe,16768513443
